,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,features_used,last_login_days_ago,monthly_fee,total_revenue,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,csat_score,escalations,survey_response,referral_count,churn
24,SME,28,Web,Monthly,29,1,3,2.4849066497880004,50,7.244941546337007,1,No,No,1,22.870343209463652,2.0,0,Satisfied,0,0
25,SME,23,Referral,Quarterly,3,2,5,0.6931471805599453,10,5.442417710521793,1,No,No,3,28.12195843508985,3.0,1,Neutral,2,0
27,Individual,23,Referral,Monthly,33,2,5,3.367295829986474,30,6.53813982376767,0,No,No,0,28.82301279621892,3.0,0,Unsatisfied,1,0
28,Individual,51,Referral,Monthly,27,6,4,2.1972245773362196,10,6.236369590203704,1,No,No,0,29.16801122584152,4.0,1,Satisfied,1,0
31,Individual,43,Referral,Quarterly,0,2,6,2.8903717578961645,10,6.066108090103747,1,No,No,1,8.215345852025811,3.0,1,Satisfied,2,0
32,SME,12,Web,Monthly,18,4,6,1.6094379124341003,30,5.8888779583328805,0,No,No,1,19.83159490120358,4.0,1,Satisfied,1,0
33,Individual,27,Web,Quarterly,7,6,4,0.6931471805599453,70,7.544861068658458,2,Yes,Yes,1,24.54622209579724,3.0,1,Unsatisfied,1,0
35,Individual,59,Mobile,Monthly,9,2,5,2.70805020110221,70,8.326274787396764,1,No,No,0,23.51186036939556,3.0,0,Neutral,1,0
36,SME,40,Mobile,Quarterly,28,5,5,2.4849066497880004,20,6.68586094706836,2,Yes,Yes,1,26.817294249167237,2.0,0,Neutral,0,1
37,Individual,46,Mobile,Monthly,15,7,4,1.9459101490553132,70,8.0774471493312,1,No,Yes,2,16.19442675664146,5.0,0,Satisfied,0,0
38,SME,49,Mobile,Quarterly,7,5,4,0.6931471805599453,30,7.293697720601438,0,No,No,1,26.0109118945919,5.0,0,Satisfied,1,0
39,SME,52,Mobile,Monthly,10,5,3,2.772588722239781,10,6.255750041753367,1,No,No,1,22.91113436382605,2.0,0,Satisfied,1,0
40,Individual,15,Web,Monthly,6,7,6,1.0986122886681098,30,6.111467339502679,0,No,No,0,26.21135509228189,3.0,1,Neutral,1,0
41,Individual,47,Web,Quarterly,19,7,11,1.0986122886681098,30,7.252053951852814,1,No,No,0,36.25818442735974,3.0,0,Unsatisfied,1,0
42,Individual,23,Mobile,Monthly,26,0,5,0.6931471805599453,30,6.53813982376767,0,No,Yes,2,18.490502640880678,2.0,0,Satisfied,3,0
43,SME,44,Web,Monthly,13,4,3,3.091042453358316,50,7.696667081526462,0,Yes,No,2,37.28779351559047,3.0,0,Satisfied,0,0
44,Individual,41,Referral,Monthly,5,1,7,1.9459101490553132,100,8.31898612539206,0,No,No,0,42.10783620671764,4.0,0,Unsatisfied,5,0
47,Individual,44,Referral,Monthly,15,6,4,2.1972245773362196,10,6.089044875446846,1,No,No,0,30.04901318281916,3.0,1,Unsatisfied,3,0
49,SME,38,Web,Yearly,32,2,7,2.3978952727983707,100,8.24301946898925,1,Yes,Yes,2,28.09561459854149,3.0,0,Unsatisfied,2,0
50,Individual,40,Mobile,Monthly,14,7,2,2.70805020110221,20,6.68586094706836,1,No,Yes,0,6.585886462154875,5.0,0,Satisfied,2,0
51,Individual,43,Web,Yearly,5,2,10,0.6931471805599453,50,7.67368812926773,0,Yes,No,2,23.97144827973592,3.0,0,Satisfied,0,0
53,Individual,16,Web,Monthly,25,5,4,1.9459101490553132,100,7.3783837129967145,0,No,No,0,19.74267947652703,3.0,3,Unsatisfied,1,0
54,Individual,32,Mobile,Monthly,24,0,2,2.772588722239781,20,6.46302945692067,3,No,No,1,35.65475989048856,3.0,1,Neutral,3,0
55,SME,38,Mobile,Monthly,4,1,4,2.3978952727983707,50,7.550135342488429,1,Yes,No,1,28.65533318527303,5.0,1,Satisfied,0,0
56,SME,9,Web,Quarterly,32,6,4,2.772588722239781,50,6.111467339502679,0,No,No,2,30.974051105967675,4.0,0,Unsatisfied,0,0
57,Individual,41,Web,Quarterly,22,3,5,1.6094379124341003,10,6.018593214496234,0,Yes,No,2,23.503369709326435,4.0,0,Satisfied,0,0
59,SME,5,Web,Quarterly,46,0,5,0.6931471805599453,50,5.5254529391317835,0,No,No,1,35.93881945559706,3.0,1,Satisfied,0,0
60,Individual,1,Web,Monthly,27,1,4,1.3862943611198906,10,2.3978952727983707,1,Yes,No,2,22.506607114960165,3.0,0,Satisfied,0,0
61,SME,35,Mobile,Yearly,25,6,3,3.258096538021482,20,6.55250788703459,0,Yes,No,2,33.26707232654894,4.0,0,Neutral,1,1
62,Individual,35,Web,Monthly,17,3,4,2.6390573296152584,20,6.55250788703459,0,Yes,No,1,36.28579911694359,2.0,0,Satisfied,0,0
63,Individual,12,Web,Yearly,19,0,5,2.302585092994046,10,4.795790545596741,1,No,No,3,33.16694971327691,4.0,0,Satisfied,1,0
65,Individual,21,Mobile,Monthly,20,5,4,0.0,50,6.957497370876951,1,No,Yes,2,17.062046825596674,3.0,0,Unsatisfied,1,0
66,SME,48,Referral,Yearly,36,2,7,2.0794415416798357,20,6.8679744089702925,1,Yes,No,1,12.20311733225302,2.0,0,Satisfied,0,0
67,Individual,43,Referral,Quarterly,24,5,6,2.5649493574615367,20,6.7580945044277305,0,No,No,1,28.53677351179713,5.0,0,Satisfied,2,0
70,Individual,9,Web,Yearly,22,5,4,2.3978952727983707,10,4.51085950651685,1,No,Yes,1,18.636644507647823,2.0,0,Neutral,2,0
72,Enterprise,30,Mobile,Monthly,39,5,5,3.4965075614664802,50,7.313886831633462,1,Yes,No,1,31.371738338223714,3.0,0,Satisfied,3,0
73,Enterprise,14,Mobile,Monthly,15,7,3,1.0986122886681098,30,6.042632833682381,0,Yes,No,3,47.066245287046016,5.0,0,Neutral,2,0
74,SME,23,Mobile,Quarterly,12,6,8,3.58351893845611,50,7.048386408721883,0,Yes,No,1,33.49090483245683,4.0,0,Satisfied,1,0
75,Individual,29,Web,Yearly,11,1,4,3.258096538021482,50,7.280008252884188,1,No,No,0,19.291813740483427,2.0,1,Unsatisfied,0,0
77,SME,22,Web,Yearly,21,0,1,3.258096538021482,50,7.00397413672268,1,Yes,No,1,38.0296557615061,5.0,1,Neutral,1,0
78,SME,15,Mobile,Monthly,20,6,2,3.5263605246161616,20,5.707110264748875,0,Yes,No,1,20.81343047798432,5.0,1,Unsatisfied,1,0
79,Individual,51,Web,Yearly,25,2,1,2.1972245773362196,20,6.928537818164665,1,No,Yes,2,19.660778628381163,5.0,0,Satisfied,1,0
80,Enterprise,9,Mobile,Monthly,17,7,6,1.791759469228055,10,4.51085950651685,1,Yes,Yes,3,26.19862826385773,4.0,2,Neutral,1,0
81,SME,26,Web,Monthly,12,3,6,1.3862943611198906,20,6.255750041753367,0,No,No,2,16.607304116671422,3.0,1,Satisfied,1,0
82,SME,17,Mobile,Monthly,11,1,6,1.0986122886681098,20,5.831882477283517,0,No,No,1,23.123570376440576,3.0,0,Satisfied,3,0
83,Individual,9,Web,Quarterly,11,3,7,2.0794415416798357,50,6.111467339502679,0,No,No,1,8.736811836497063,4.0,1,Neutral,2,0
84,Individual,3,Web,Monthly,0,1,7,2.772588722239781,20,4.110873864173311,1,Yes,No,0,16.225823143501692,3.0,1,Satisfied,0,0
85,Enterprise,57,Web,Yearly,20,4,6,1.6094379124341003,50,7.955425088912672,0,No,No,1,25.44715626778054,4.0,1,Satisfied,1,0
87,Individual,13,Web,Quarterly,25,6,7,1.9459101490553132,50,6.478509642208569,0,No,Yes,0,22.71849160008816,4.0,1,Satisfied,2,0
89,Individual,17,Web,Monthly,13,5,6,2.302585092994046,30,6.236369590203704,0,No,No,0,26.81470176554447,5.0,0,Satisfied,0,0
90,Individual,32,Web,Monthly,23,2,5,3.332204510175204,20,6.46302945692067,0,No,No,2,23.628089126455563,2.0,0,Satisfied,0,0
91,Individual,24,Mobile,Quarterly,27,3,8,0.6931471805599453,10,5.484796933490655,0,Yes,No,3,27.0711804896054,3.0,0,Satisfied,0,0
92,Individual,54,Mobile,Monthly,35,0,9,2.0794415416798357,30,7.390798521735676,0,No,No,1,10.191430871482094,3.0,0,Unsatisfied,1,0
93,Individual,57,Web,Quarterly,16,5,5,0.0,20,7.039660349862076,0,No,No,0,2.5319324904463336,3.0,0,Unsatisfied,2,0
94,Individual,36,Mobile,Quarterly,5,1,6,2.70805020110221,30,6.985641817639208,0,No,No,3,30.23055931268139,2.0,0,Neutral,1,0
95,Individual,53,Mobile,Quarterly,10,7,4,3.044522437723423,30,7.372118028337787,0,No,No,1,25.89525776295612,4.0,0,Unsatisfied,2,0
96,SME,22,Web,Monthly,3,7,1,1.0986122886681098,30,6.493753839851686,0,No,No,1,19.232957694719587,4.0,0,Satisfied,0,1
98,Individual,22,Web,Monthly,0,6,4,0.0,20,6.089044875446846,0,No,Yes,1,22.648639723860573,5.0,0,Neutral,2,0
99,Individual,41,Web,Monthly,9,0,3,2.6390573296152584,10,6.018593214496234,0,No,Yes,1,27.74311949020926,3.0,0,Satisfied,0,0
100,Individual,50,Referral,Yearly,20,5,4,0.0,20,6.90875477931522,1,Yes,No,0,23.78028914754693,1.0,0,Satisfied,0,1
101,SME,46,Web,Monthly,9,2,2,3.58351893845611,50,7.741099090035366,2,No,No,2,8.327003405376962,3.0,0,Satisfied,0,0
102,Enterprise,20,Web,Yearly,11,2,4,1.0986122886681098,20,5.993961427306569,0,No,Yes,1,32.521991650587324,4.0,0,Neutral,0,0
104,Individual,36,Mobile,Monthly,8,5,5,2.3978952727983707,30,6.985641817639208,3,No,No,3,3.0338094477112847,3.0,0,Unsatisfied,0,0
105,SME,33,Mobile,Monthly,15,0,6,0.6931471805599453,50,7.409136443920128,0,No,Yes,2,27.090135667167104,3.0,0,Neutral,0,0
106,SME,18,Mobile,Yearly,29,0,8,0.6931471805599453,20,5.8888779583328805,1,No,No,3,27.68682332656912,3.0,0,Satisfied,0,0
107,Individual,36,Mobile,Yearly,16,1,5,0.0,10,5.8888779583328805,0,Yes,No,0,13.430040654587843,3.0,0,Unsatisfied,2,0
109,SME,36,Web,Monthly,30,3,7,0.6931471805599453,50,7.496097345175956,0,No,No,4,32.66325217718728,3.0,0,Neutral,0,0
112,Enterprise,49,Web,Quarterly,19,6,3,2.70805020110221,20,6.8885724595653635,1,Yes,No,0,21.911491950828623,4.0,0,Satisfied,0,0
113,Individual,40,Web,Yearly,17,3,5,1.3862943611198906,10,5.993961427306569,0,No,No,0,28.12920088927497,5.0,1,Satisfied,1,0
117,SME,27,Mobile,Monthly,0,5,3,1.791759469228055,20,6.293419278846481,0,No,No,1,21.37402181554164,3.0,0,Satisfied,1,0
118,Individual,56,Mobile,Quarterly,10,3,7,3.091042453358316,10,6.329720905522696,0,No,No,0,34.81403626371718,3.0,0,Satisfied,0,0
119,Individual,56,Referral,Yearly,36,7,5,1.3862943611198906,20,7.02197642307216,1,No,No,1,23.724956179627306,3.0,0,Neutral,0,0
120,Individual,57,Mobile,Yearly,14,3,2,2.5649493574615367,20,7.039660349862076,0,No,No,3,23.740183497625942,3.0,1,Satisfied,1,0
121,Individual,15,Referral,Monthly,13,2,1,2.302585092994046,30,6.111467339502679,1,No,No,0,26.22409817293629,4.0,0,Satisfied,0,0
123,Enterprise,32,Mobile,Monthly,20,7,2,3.1354942159291497,20,6.46302945692067,1,No,Yes,3,12.364943032314594,4.0,1,Satisfied,0,0
124,Individual,48,Referral,Monthly,0,5,4,3.258096538021482,70,8.119993827725105,2,No,No,3,22.590566982296306,3.0,0,Satisfied,0,0
125,Individual,53,Referral,Yearly,21,5,5,2.3978952727983707,50,7.8826922062890254,1,No,No,2,29.446836562645515,5.0,0,Unsatisfied,0,0
127,Individual,55,Mobile,Quarterly,25,6,4,0.0,10,6.311734809152915,2,No,No,3,21.745139200480686,3.0,0,Satisfied,0,1
128,Individual,50,Web,Monthly,10,0,6,1.0986122886681098,30,7.313886831633462,0,No,No,2,38.74409910488169,3.0,0,Neutral,2,0
129,Individual,39,Referral,Quarterly,35,6,6,0.6931471805599453,70,7.912423121473705,1,No,No,2,29.948902322079704,3.0,1,Satisfied,0,0
132,SME,51,Web,Monthly,27,1,2,1.9459101490553132,100,8.537191877922927,0,Yes,No,1,34.42425190589182,4.0,0,Unsatisfied,1,0
133,SME,6,Web,Quarterly,16,2,3,1.791759469228055,10,4.110873864173311,1,No,No,2,29.358465527357108,3.0,0,Satisfied,1,0
134,Individual,6,Web,Quarterly,20,5,6,1.0986122886681098,10,4.110873864173311,0,No,No,0,13.372569075745384,3.0,0,Neutral,1,0
135,Individual,38,Referral,Monthly,34,6,7,1.9459101490553132,10,5.942799375126701,0,No,No,2,22.88880503760251,5.0,1,Satisfied,2,1
136,SME,58,Referral,Monthly,0,7,9,3.8066624897703196,10,6.364750756851911,0,No,Yes,1,23.90736166912048,2.0,0,Satisfied,0,1
137,Individual,47,Web,Quarterly,12,4,2,1.0986122886681098,30,7.252053951852814,0,Yes,No,3,34.842965427324515,3.0,1,Neutral,2,0
138,Enterprise,2,Mobile,Yearly,24,4,5,1.3862943611198906,20,3.713572066704308,1,No,No,0,22.37280370650411,5.0,1,Satisfied,2,0
139,Individual,41,Web,Monthly,17,5,3,2.70805020110221,100,8.31898612539206,0,No,No,1,27.856261295481684,3.0,0,Satisfied,0,0
140,Individual,40,Web,Monthly,15,4,4,3.295836866004329,50,7.601402334583733,0,No,No,3,14.961145446498575,3.0,0,Satisfied,1,0
141,SME,7,Web,Monthly,36,7,9,2.0794415416798357,20,4.948759890378168,1,No,No,3,28.4772098063896,4.0,0,Unsatisfied,0,0
142,SME,27,Mobile,Monthly,28,6,9,2.70805020110221,20,6.293419278846481,1,No,No,1,30.97467692538715,5.0,0,Satisfied,0,0
143,Individual,28,Referral,Monthly,29,2,8,0.0,70,7.581209826196346,0,No,No,1,22.37874152171336,3.0,0,Unsatisfied,2,0
144,Individual,16,Web,Quarterly,12,1,7,2.3978952727983707,10,5.081404364984463,0,No,No,1,33.42362598432005,4.0,1,Satisfied,0,0
145,Individual,47,Mobile,Yearly,14,3,8,0.0,50,7.762596048540069,0,No,Yes,1,40.8910810206351,5.0,0,Unsatisfied,1,0
146,Enterprise,9,Mobile,Monthly,24,1,4,3.828641396489095,30,5.602118820879701,1,No,No,1,12.040602559988743,5.0,1,Satisfied,3,0
147,SME,52,Web,Quarterly,24,1,4,2.1972245773362196,30,7.353081920515432,0,No,No,1,13.221182378569692,3.0,0,Satisfied,1,0
148,Individual,15,Referral,Quarterly,38,7,5,0.6931471805599453,30,6.111467339502679,0,No,No,1,22.12032024491639,4.0,0,Satisfied,0,0
149,Individual,34,Referral,Yearly,23,5,4,2.995732273553991,20,6.523562306149512,2,No,No,0,11.53320916755882,3.0,0,Neutral,1,0
150,Individual,20,Web,Quarterly,36,6,6,2.5649493574615367,30,6.398594934535208,1,Yes,No,0,24.760857782501816,3.0,0,Neutral,2,0
152,Individual,58,Web,Quarterly,17,0,8,0.0,30,7.462214939768189,1,No,No,2,27.61040065731453,4.0,0,Satisfied,2,0
153,SME,11,Mobile,Yearly,12,4,2,2.3978952727983707,20,5.3981627015177525,0,No,No,3,29.756506107529468,4.0,1,Satisfied,2,0
154,Individual,30,Mobile,Monthly,28,4,1,2.3978952727983707,10,5.707110264748875,0,No,No,0,7.664638420081282,4.0,0,Satisfied,1,0
155,Individual,3,Web,Monthly,16,3,2,1.3862943611198906,10,3.4339872044851463,0,No,No,2,21.049202080167063,5.0,2,Neutral,0,0
156,SME,2,Referral,Yearly,18,0,1,2.3978952727983707,20,3.713572066704308,1,Yes,No,0,25.12827747462025,2.0,0,Satisfied,1,1
157,Individual,50,Mobile,Quarterly,11,3,5,0.6931471805599453,10,6.2166061010848646,1,No,No,1,17.627142110032402,4.0,0,Neutral,1,0
158,Individual,14,Referral,Monthly,20,5,5,3.258096538021482,100,7.244941546337007,0,Yes,No,1,27.89953199316237,5.0,1,Unsatisfied,0,0
159,Individual,56,Web,Yearly,25,2,6,1.6094379124341003,10,6.329720905522696,0,No,No,1,6.439668304413612,5.0,0,Neutral,0,0
160,Individual,29,Referral,Monthly,15,0,2,0.6931471805599453,100,7.972810784121404,0,Yes,No,1,18.1143588465216,3.0,0,Unsatisfied,4,0
161,SME,5,Mobile,Monthly,12,7,4,3.044522437723423,50,5.5254529391317835,1,No,No,0,33.327020076150745,4.0,0,Unsatisfied,1,0
162,SME,44,Web,Quarterly,20,4,2,1.6094379124341003,10,6.089044875446846,2,No,No,0,17.524490659563494,3.0,0,Satisfied,1,1
163,Individual,46,Web,Quarterly,24,3,4,2.4849066497880004,20,6.825460036255307,0,Yes,No,3,33.17970342609926,5.0,0,Neutral,3,0
167,Individual,39,Referral,Yearly,25,0,3,2.8903717578961645,70,7.912423121473705,1,No,No,0,36.96020146902621,4.0,0,Satisfied,1,0
168,Individual,44,Web,Monthly,28,7,3,1.0986122886681098,30,7.186144304522325,0,No,No,2,12.311033953622706,4.0,0,Satisfied,1,0
169,Individual,29,Web,Monthly,23,0,3,1.9459101490553132,10,5.673323267171493,0,Yes,Yes,1,22.448834814792427,4.0,0,Unsatisfied,0,0
170,Individual,39,Mobile,Monthly,10,4,5,2.0794415416798357,50,7.576097340623111,0,Yes,No,2,23.873283495914613,3.0,0,Unsatisfied,0,0
171,SME,44,Mobile,Yearly,11,2,5,3.091042453358316,20,6.78105762593618,1,No,No,1,16.47502776221628,3.0,1,Satisfied,1,0
172,SME,27,Web,Yearly,8,3,4,2.302585092994046,20,6.293419278846481,1,No,Yes,0,29.983947320470985,4.0,0,Satisfied,0,0
173,Enterprise,16,Mobile,Quarterly,6,2,4,3.044522437723423,70,7.02197642307216,0,Yes,No,1,21.53465649340204,3.0,0,Satisfied,1,0
174,Individual,27,Mobile,Yearly,22,0,7,3.091042453358316,10,5.602118820879701,0,Yes,No,0,38.67094746247295,2.0,0,Unsatisfied,0,1
175,SME,39,Mobile,Quarterly,32,6,2,1.791759469228055,70,7.912423121473705,0,No,No,1,24.8739977686618,5.0,0,Unsatisfied,0,0
176,SME,40,Mobile,Monthly,27,4,3,0.0,50,7.601402334583733,1,No,No,3,10.230999900800152,3.0,0,Satisfied,1,0
177,Enterprise,1,Web,Monthly,27,4,2,3.1354942159291497,10,2.3978952727983707,0,Yes,No,1,32.12154822645702,4.0,0,Unsatisfied,0,0
178,Individual,45,Referral,Monthly,9,4,6,0.6931471805599453,20,6.803505257608338,0,Yes,No,2,6.762877966223652,3.0,1,Satisfied,0,0
179,SME,51,Web,Monthly,24,7,5,2.0794415416798357,30,7.333676395657684,1,Yes,No,0,1.0,5.0,0,Neutral,1,0
181,SME,56,Web,Monthly,36,4,7,3.4965075614664802,20,7.02197642307216,0,Yes,No,1,36.98815882057119,5.0,0,Neutral,1,0
182,Individual,50,Web,Monthly,23,1,5,0.0,30,7.313886831633462,0,No,No,3,20.730791943967738,4.0,0,Neutral,1,0
183,SME,39,Web,Monthly,37,0,5,1.3862943611198906,30,7.065613363597717,1,Yes,No,0,31.16622878230861,4.0,0,Unsatisfied,1,0
184,SME,54,Mobile,Quarterly,21,6,4,3.713572066704308,20,6.985641817639208,1,No,No,1,29.63365118249516,3.0,0,Satisfied,0,0
186,Individual,17,Mobile,Yearly,31,6,4,2.5649493574615367,10,5.14166355650266,0,No,No,0,21.357624418772104,2.0,0,Satisfied,0,0
188,Individual,22,Web,Quarterly,4,0,5,0.0,50,7.00397413672268,2,No,No,2,38.025472217052936,3.0,0,Unsatisfied,1,0
190,Individual,19,Referral,Monthly,46,7,6,0.0,10,5.25227342804663,1,No,Yes,0,13.842766852968818,4.0,0,Neutral,1,0
192,Individual,23,Web,Monthly,26,3,7,1.791759469228055,30,6.53813982376767,0,No,No,3,37.53893159624147,5.0,1,Unsatisfied,1,0
193,SME,36,Web,Quarterly,9,4,4,0.0,30,6.985641817639208,0,No,Yes,2,16.080448043413362,5.0,0,Unsatisfied,0,0
194,SME,49,Web,Monthly,23,4,6,1.9459101490553132,20,6.8885724595653635,0,Yes,Yes,0,32.57279443083885,3.0,0,Unsatisfied,1,0
195,Enterprise,39,Web,Quarterly,33,1,5,2.4849066497880004,10,5.968707559985366,0,Yes,No,2,9.574236232995414,3.0,1,Unsatisfied,1,0
196,SME,48,Mobile,Monthly,1,2,5,0.0,20,6.8679744089702925,0,Yes,No,1,35.89352510000076,5.0,0,Neutral,0,1
198,SME,59,Mobile,Yearly,22,0,5,1.3862943611198906,10,6.3818160174060985,0,No,No,0,36.709192876735045,2.0,0,Satisfied,2,0
199,Individual,20,Web,Monthly,23,0,5,1.0986122886681098,20,5.993961427306569,0,No,No,2,9.087699377126324,5.0,0,Satisfied,4,0
200,Enterprise,47,Mobile,Monthly,41,7,6,2.9444389791664403,10,6.154858094016418,0,No,No,2,15.732311716254753,5.0,0,Satisfied,1,0
202,SME,53,Referral,Monthly,15,6,5,2.995732273553991,70,8.219056661060598,0,No,No,0,14.145280959290696,4.0,0,Unsatisfied,1,0
204,Individual,45,Web,Quarterly,43,3,11,2.1972245773362196,30,7.208600337960199,0,No,No,2,42.14350341642452,2.0,1,Unsatisfied,0,0
205,SME,7,Web,Monthly,21,3,7,3.6375861597263857,20,4.948759890378168,1,Yes,No,1,12.0225438920229,3.0,0,Satisfied,0,0
206,SME,31,Web,Yearly,25,3,2,1.6094379124341003,20,6.431331081933479,1,No,No,1,27.39487906125981,3.0,1,Neutral,1,0
207,Individual,51,Web,Quarterly,0,4,5,1.9459101490553132,20,6.928537818164665,0,No,No,0,43.51038588663626,4.0,0,Satisfied,0,0
208,Enterprise,11,Mobile,Monthly,21,4,7,2.833213344056216,10,4.709530201312334,0,No,No,4,27.952805961218555,4.0,0,Unsatisfied,1,0
209,Individual,40,Web,Monthly,18,2,3,2.3978952727983707,50,7.601402334583733,1,Yes,Yes,2,22.55948694197101,4.0,0,Satisfied,1,0
211,SME,36,Web,Quarterly,16,2,6,1.6094379124341003,70,7.83241092718792,0,Yes,No,4,29.269971689188655,4.0,0,Satisfied,0,0
212,Individual,26,Mobile,Monthly,7,1,3,1.791759469228055,20,6.255750041753367,1,No,No,0,44.13678354093521,3.0,0,Neutral,4,0
214,SME,18,Web,Monthly,35,4,9,2.833213344056216,20,5.8888779583328805,1,Yes,No,0,28.02238296715401,4.0,0,Neutral,0,0
215,Individual,54,Referral,Monthly,21,2,7,2.1972245773362196,100,8.594339400592892,1,No,No,1,40.03027933021971,4.0,0,Satisfied,2,0
216,Individual,31,Referral,Monthly,2,1,5,2.1972245773362196,20,6.431331081933479,0,No,No,2,32.83130095338939,2.0,0,Satisfied,0,1
217,SME,49,Mobile,Yearly,8,5,2,1.6094379124341003,70,8.14060704285845,2,Yes,Yes,2,43.00735478210545,4.0,2,Neutral,0,0
219,Individual,41,Referral,Quarterly,9,4,3,2.5649493574615367,20,6.710523109452428,1,No,No,4,19.692201784716406,3.0,0,Satisfied,1,0
220,Individual,28,Mobile,Monthly,22,2,3,0.0,70,7.581209826196346,0,No,No,0,13.72380999000498,2.0,0,Neutral,3,0
221,Individual,26,Web,Monthly,32,6,5,2.70805020110221,10,5.564520407322694,0,No,Yes,0,26.358301427758818,4.0,0,Neutral,1,0
222,SME,6,Web,Monthly,24,6,3,0.0,10,4.110873864173311,1,No,No,2,29.803594042843383,4.0,1,Satisfied,1,0
223,Individual,34,Mobile,Quarterly,10,1,6,1.6094379124341003,30,6.928537818164665,0,No,No,0,17.89031300042865,4.0,0,Satisfied,0,0
224,SME,28,Mobile,Monthly,21,5,5,1.9459101490553132,70,7.581209826196346,0,No,No,2,12.519912941118417,2.0,0,Satisfied,0,0
226,Individual,47,Web,Monthly,12,1,5,2.4849066497880004,10,6.154858094016418,0,No,No,1,13.80156275670848,4.0,0,Unsatisfied,0,0
228,Enterprise,29,Mobile,Quarterly,19,4,1,1.3862943611198906,50,7.280008252884188,0,No,No,1,13.748868074663037,4.0,0,Neutral,1,0
229,Individual,34,Mobile,Monthly,35,1,5,2.302585092994046,50,7.438971592395862,0,No,No,1,41.42635431496479,4.0,0,Satisfied,0,0
231,Enterprise,16,Referral,Quarterly,15,7,3,1.3862943611198906,10,5.081404364984463,2,No,No,1,1.0,3.0,0,Satisfied,1,0
233,Individual,31,Mobile,Monthly,12,1,3,1.9459101490553132,30,6.836259277277067,1,Yes,No,3,3.3168206649788523,4.0,0,Neutral,0,0
235,Enterprise,53,Referral,Monthly,18,0,3,2.9444389791664403,10,6.274762021241939,0,No,Yes,1,19.66079152828472,4.0,1,Satisfied,0,0
236,SME,7,Web,Yearly,0,2,4,3.2188758248682006,70,6.19644412779452,0,No,Yes,0,34.136974623079624,3.0,0,Neutral,1,0
